ID,businessname,legalowner,LicenseFK
384,Boston Eagle,MATTIE MARIO M TRSTS,384
385,Boston Elite,,385
386,Boston Fried Chicken,,386
387,Boston Harbor Hotel Wharf Room,  ,387
388,Boston House of Pizza,,388
389,Boston Juicing,TWO 83 MAIN ST CONDO TR,389
390,Boston Kebab House,  ,390
391,Boston Kitchen,,391
392,Boston Kitchen Pizza,LEWIS ALAN E,392
393,Boston Liquors,PESIRIDIS THEODORE TS,393
394,Boston Living Center,,394
395,BOSTON MARKET,BOSTON MARKET CORPORATION LIC. & PERMITS,395
396,Boston Marriott Long Wharf - FS,LINDA EDWARD H TRSTS,396
397,Boston Marriott Longwharf,LINDA EDWARD H TRSTS,397
398,Boston Medical Center (Shapiro Bldg.),,398
399,Boston News Cafe,EOP-28 STATE STREET LLC,399
400,Boston News Cafe (90 Arch St.),,400
401,Boston News Cafe Express,BEAL S MAXWELL TS,401
402,Boston Olive Oil Co.,NICE REALTY LLC,402
403,Boston Opera House,SPECTRUM FCS/OPERA HOUSE ATTN: JASON REED,403
404,BOSTON ORGANICS  LLC,MARTIN KEITH,404
405,Boston Park Plaza (Main Kitchen/Room Serv.),,405
406,Boston Park Plaza Employee Cafeteria(3rdFl),,406
407,BOSTON SAIL LOFT,TIPPING,407
408,Boston Sno Mobile,,408
409,Boston Symphony Orchestra,BOSTON SYMPHONY ORCHESTRA,409
410,Boston Trolly Dogs,,410
411,BOSTON UNIVERSITY ATHLETIC CTR,BOSTON UNIV. MR. WEINBUR GER,411
412,Boston Wine Exchange,BOSTON DEVONSHIRE INVESTORS,412
413,Bostonia Public House,ARCHSTONE SMITH OPERATING,413
414,Bourbon Coffee,,414
415,BOURBON ST. CAFE,MCCOY RICHARD,415
416,Bourbon Street Cafe,CVS.LIC. DEPT./T.FLUETTE,416
417,BPL Newsfeed Cafe,,417
418,Brandy Petes,,418
419,Brannellys Cafe,BRANNELLY THOMAS,419
420,Brassica Kitchen & Cafe,WEST RONALD K TS,420
421,BREADWINNERS/STARBUCK'S,,421
422,Breaking New Ground Cafe,,422
423,Bred,,423
424,Breeze,KWONG CHEUK LEUNG,424
425,Brendan Behan Pub,MEEHAN JOHN,425
426,Brewer's Fork,,426
427,BRICCO Restaurant/Bakery,,427
428,Brick House Pizza & Grille,  ,428
429,Brigham & Women Hospital OR Lounge,AU BON PAIN CO  INC. #508 (LAURA),429
430,Brigham & Womens Coffee Kiosk,AU BON PAIN CO  INC. #508 (LAURA),430
431,BRIGHAM & WOMENS FAULKNER HOSPITAL,,431
432,BRIGHAM CIRCLE CHINESE FOOD,,432
433,Brighams & Womens Hospital - Tower Cafe,AU BON PAIN CO  INC. #508 (LAURA),433
434,Bright Arena/Briggs Cage,BOSTON CONCESSION GROUP  INC,434
435,Bright-Landry Arena Briggs Cafe,,435
436,Brighton Bodega,MARINO JOSEPH           ETAL,436
437,BRIGHTON CAFE,SOU CHIANG PANG,437
438,Brighton Gourmet and Cellar,  ,438
439,BRIGHTON HOUSE OF PIZZA,  ,439
440,Brighton Music Hall,CHARLES ABEL- EDWARD CONNELLY,440
441,BRIGHTON SHELL,MOTIVA ENTERPRISES LLC,441
442,Brighton's Best Pizza,,442
443,British Airways Lounge,,443
444,Broadside,,444
445,Broadway Pastry,,445
446,Brooks St Market,FIRST COMMERCIAL REALTY LLC,446
447,Brother Deli Restaurant,PAPAS,447
448,Brother's Super Liquors,EDUARDO FERNANDEZ,448
449,Brown Brothers Harriman & Co.,NEW ENGLAND TEL * TEL CO,449
450,BROWNSTONE,,450
451,Bruegger's,,451
452,BRUEGGER'S BAGEL BAKERY,,452
