ID,businessname,legalowner,LicenseFK
4054,Chuanway,,4054
4055,Chubby Dogs @ Ramsay Park,,4055
4056,CHUCK & ANN'S,VANTASSELL,4056
4057,Chung Wah Hong Co.,CHIN MICHAEL,4057
4058,Chung Wah Restaurant,,4058
4059,Church,TUTUNJIAN EDWARD J TS,4059
4060,CIAO BELLA,CIMINO JOSEPH P,4060
4061,Cibao Grocery,,4061
4062,Cibao Meat Market,MARINEZ MANUEL A,4062
4063,CIBAO'S MARKET,YAQOOB MUHAMMAD,4063
4064,Cibo Express Market,,4064
4065,Cibo Express Market No.  2,,4065
4066,Cigar Masters,SALOMON MARISSA,4066
4067,Cilantro,,4067
4068,CINDY'S PLANET,,4068
4069,Cirace's,,4069
4070,Circuit City Stores,E&A NORTHEAST LP,4070
4071,CIROS,TENAGLIA RALPH,4071
4072,Cirque Du Soleil,,4072
4073,Cirque Du Soleil - Spectrum Catering,,4073
4074,Cisco Brew Pub,,4074
4075,Cisco Brew Pub of Nantucket,,4075
4076,City Baked,,4076
4077,CITY CAFE,RICHARD WELCH (COMM. FOR THE BLIND),4077
4078,CITY CONVENIENCE,660 CORPORATION,4078
4079,City Fresh Foods,BETTANO TERRI,4079
4080,City Fresh Foods @ Roxbury Comm. College,FREEMAN  JR./Roxbury Community College,4080
4081,City Fruit Company,TWO-31 HARRISON AV LP,4081
4082,City Hall Farmers Market,,4082
4083,city landing,LEGAL SEA FOODS  INC.RISK /BENEFITS,4083
4084,City Produce,WA IO MA  PRES.,4084
4085,City Sports,,4085
4086,CITYSIDE AT THE CIRCLE,,4086
4087,CJ Teriyaki & Seafood,MARK & JACQUELINE REID,4087
4088,Clarendon Wine Co.,FIVE 57-561 BOYLSTON ST LLC,4088
4089,Clarke's at South Station,AU BON PAIN  CO.  INC.,4089
4090,Claudia Market,EZEQUIEL BAEZ,4090
4091,Claudia's Market,EZEQUIEL BAEZ,4091
4092,Claudio's Market,CARDOSO CLAUDINO,4092
4093,CLEO DI'S CAFE,BETTANO TERRI,4093
4094,Cleveland Circle Convenience,CHESTNUT HILL AVENUE LLC,4094
4095,Clipper Ship Wine & Spirits,NGUYEN,4095
4096,Clover,,4096
4097,Clover Fast Food Inc.,,4097
4098,Clover Fast Food L M A No. 4,,4098
4099,Clover Fast Food No. 2,  ,4099
4100,Clover Fast Food No. 3,,4100
4101,Clover Fast Food No. 5,,4101
4102,Cluckit!,GS PARTNERS LP,4102
4103,C-MART II,ONE25 LINCOLN ST LIABILITY,4103
4104,C-Mart Supermarket  Inc.,,4104
4105,CO9/YO9,JACK LYONS  MANAGER,4105
4106,Cocoanuts Boston,DEUTERIO PAUL TRSTS,4106
4107,COCO'S,SMITH THOMAS M ETAL,4107
4108,CODE 10,ZAFER KURU & CARMEN DONO SO,4108
4109,Codman Square Health Center Farmers Mkt.,,4109
4110,Codman Square Market,,4110
4111,Codman Square Market Corp.,ESPAILLAT MANUEL A,4111
4112,Codman Square Pharmacy,,4112
4113,CO-DO RESTAURANT,NGUYEN,4113
4114,Coffee Cafe,  ,4114
4115,COFFEE SHOP AT DIMOCK HEALTH,,4115
4116,Cold Stone Creamery,,4116
4117,Cold Stone Creamery No.  21037,TSI/BOSTON SPORTS CLUB DAVID RENZELLA,4117
4118,Coldstone Creamery,PARK CENTER LLC 1,4118
4119,COLOMBO YOGURT SHOP,  ,4119
4120,Colonade Hotel (RF),MERCURY HUNTINGTON CORP TS,4120
4121,COLONIAL THEATRE,KOMOLA JOHN TRST,4121
4122,COLOR,HAE HYUNG AHN,4122
4123,Color Inc.,GILLETTE CAFETERIA EDWARD C. COLEMAN,4123
4124,COLUMBUS CAFE & BAR,ROBERT GUERRIERO  PRESIDN,4124
4125,COLUMBUS MARKET,CARLOS A. GUERRERO,4125
4126,Comedy Connection,LESLEY,4126
4127,COMMON GROUND,NESTA ASSOCIATES  INC.,4127
4128,COMMON GROUND CAFE,MARCEL MASSE,4128
4129,Commonwealth Avenue Wine & Spirits,,4129
4130,Commonwealth Coffee Company  LLC,  ,4130
4131,Community Centers Stores,J.C.H.E.,4131
4132,Community Convenience Store,  ,4132
4133,COMPASS SCHOOL,,4133
4134,Compton Drug,STAMATOS GEORGE C,4134
4135,Concession 1,JACK LYONS  MANAGER,4135
4136,Concession Stand No. 8,JACK LYONS  MANAGER,4136
4137,Concession Stand North East,MASS CONVENTION CENTER AUTH,4137
4138,Concession Stand North West,MASS CONVENTION CENTER AUTH,4138
4139,Concession Stand South East,MASS CONVENTION CENTER AUTH,4139
4140,Concession Stand South West,MASS CONVENTION CENTER AUTH,4140
4141,Condor Market,CAVALIERE FRANCIS R GP,4141
4142,CONFAMA No. 1 MARKET,CONTRADA ANTONIO J,4142
4143,Connor's Tavern,CAIRNS,4143
4144,CONTRADA'S COFFEE SHOP,DENORMANDIE PHILIP Y TRST,4144
4145,Convenience Plus,MD. KHALEP AWAL,4145
4146,CONVENIENT CORNER,LINA NGUYEN,4146
4147,COOK TO ORDER  INC.,,4147
4148,Cookin Cafe,OMER KARA PRESIDENT,4148
4149,COOKIN CAFE & GRILLE,OMER KARA,4149
4150,Cooks Farm & Bakery,,4150
4151,Copia Restaurant,,4151
4152,Copley Flair,FURLONG ROBERT,4152
4153,COPLEY FLAIR  INC.,,4153
4154,Copley Flair Inc.,,4154
4155,COPLEY PLAZA HOTEL,DALEY,4155
4156,Copley Sq Farmers Market,,4156
4157,COPLEY SQ HOTEL,COPLEY OPERATING INC,4157
4158,Copley Sq. Farmers Market,,4158
4159,Copperfields,REGIS JR,4159
4160,COPPS HILL CAFE,FINOCCHIARO LUCILLE TS,4160
4161,Coraluis Variete Corp.,,4161
4162,Cordon Blue Restaurant,  ,4162
4163,Cordon Blue Restaurant & Lounge,DANA LESTER HAROLD FR1/3,4163
4164,Core Power Yoga,,4164
4165,Corner Stalk Farm,,4165
4166,CORNER TAVERN,,4166
4167,CORNERSTONE,,4167
4168,CORNWALL'S RESTAURANT,,4168
4169,CORP. CHEFS/U. MASS. MED. SCHOOL,,4169
4170,Corporate Cafe,  ,4170
4171,CORPORATE CAFE  INC.,CAPOMACCIO,4171
4172,Corporate Chefs @ G E Healthcare,CORPORATE CHEF'S INC.,4172
4173,Corporate Chefs @ Jaharis Cafe,,4173
4174,Corporate Chefs @ Soups On,  ,4174
4175,CORPORATE CHEFS@HARVARD KIOSK,CORPORATE CHEFS  INC.,4175
4176,COSI,,4176
4177,Cosi - Southwest (Kiosk),,4177
4178,Cosi (Hood Pk. Kiosk),,4178
4179,Cosi (Kiosk),  ,4179
4180,Cosi (TRMNL E Logan Airport),,4180
4181,Cosi @Virgin American Gates 37/38(Pier A),,4181
4182,Cosi Air Tran,,4182
4183,Cosi American,,4183
4184,Cosi Kiosk,,4184
4185,Cosi South Station,GEORGE R. CHAPDELAINE ,4185
4186,Cosi(American Eagle),,4186
4187,COSMOPOLITAN,PAPPAS GEORGE,4187
4188,Cosmopolitan Lounge,ROBERTO LOUIE J,4188
4189,Costas Convenience Store,ROSAS CARLOS RICHARD,4189
4190,COTTAGE TAVERN,CAULFIELD,4190
4191,COTTONWOOD RESTAURANT & CAFE,TWO TWENTY TWO BERKELEY,4191
4192,COUNTER POINT CAFE,BOSTON CONSERVATORY,4192
4193,Courthouse Convenience,SMITH JOHANN L.,4193
4194,Courtyard By Marriott (Lobby Market),AIRPORT HOTEL LIMITED PAR,4194
4195,Crabby Jack's General Store,CITY OF BOSTON,4195
4196,Crabtree & Evelyn,CRABTREE & EVELYN LTD.,4196
4197,Crabtree and Evelyn,,4197
4198,Craft Beer Cellar,,4198
4199,Craft Beer Cellar Fenway,PAGOUNIS GEORGE,4199
4200,Crate & Barrel,,4200
4201,CRAZY DOUGH'S PIZZA COMPANY,FERRIMAN DOUG,4201
4202,CREATIVE GOURMET,FIVE HUNDRED BOYLSTON WEST,4202
4203,Crepe & More,PAPA GINO'S/D'ANGELO,4203
4204,CRISPY CREPES CAFE,,4204
4205,CRISTELLE'S PIZZA,DAVID KENNETH TS,4205
4206,Cristelle's Restaurant,GANAME JOSEPH G,4206
4207,CROISSANT DU JOUR,RUGGERI,4207
4208,Crossfit Boston Iron & Grit,CIFRINO PAUL J,4208
4209,Crossing Variety,,4209
4210,Crossroads,  ,4210
4211,CROSSROADS CAFE,,4211
4212,Crossroads in the Commons,,4212
4213,Crossroads Irish Pub,  ,4213
4214,Crown Fried Chicken,,4214
4215,Crown Fried Chicken and Pizza,STAMATOS JAMES C,4215
4216,CROWN LIQUORS  LLC,TRAN,4216
4217,Crumbs Bakery Shop (Kiosk),GILLETTE CAFETERIA EDWARD C. COLEMAN,4217
4218,Crunch Fitness,,4218
4219,Cruz Market,,4219
4220,CRYSTAL CAFE,CALLAHAN PAUL M,4220
4221,CUCCHIELLO'S BAKERY,CUCCHIELLO MICHAEL,4221
4222,Cultivar 2ND FL,,4222
4223,Cultivar Main Kitchen,,4223
4224,Cultured Kitchen,ANDREW KORN,4224
4225,CUMMINS HIGHWAY SUNOCO,DHITAL & DAO CORP.,4225
4226,Cuppa Coffee,,4226
4227,Curahealth Boston,VENTAS LPS,4227
4228,CURRY HOUSE,STEVEN KRAVETZ  C. F. O.,4228
4229,Curtins Roadside Tavern,CURTIN ELIZABETH ETAL,4229
4230,CVS No. 1065,KARGMAN MAX R TRST,4230
4231,CVS No. 1208,CVS  LIC. DEPT. ANABELA SA,4231
4232,CVS Procare Pharmacy No. 2516,NEMC REAL ESTATE CO INC,4232
4233,CVS PROCARE PHARMACY No. 2971,SULLIVAN,4233
4234,CVS/Pharmacy No.  2162,CHILDRENS HOSPITAL CORP THE,4234
4235,CVS/PHARMACY No. 49,KARFF DEBORAH M TS,4235
4236,D & D Convenience,CHO YUOUNG,4236
4237,D & D FOOD EXPRESS,LUDVIGSEN JOHN F,4237
4238,D & S Variety Store and Multi-Service,RODNEY ANTHONY F,4238
4239,D and D Restaurant,,4239
4240,D Street Cafe,,4240
4241,D. Angeles Market,  ,4241
4242,D.C. Home Supply,COMMERCE APARTMENTS LP,4242
4243,Da' Ave,,4243
4244,Da Vinci,,4244
4245,DADDY'S GOURMET GRILLED CHEESE,,4245
4246,Daily Grill Restaurant,,4246
4247,Dairy Fresh Candies,FIFTY 7-61 SALEM ST CONDO TR,4247
4248,DAIRY QUEEN/ORANGE JULIUS,CVS.LIC. DEPT./T.FLUETTE,4248
4249,Daisy Buchanans',STRATFORD TITLE HOLDING CO,4249
4250,DAJAJO'S MARKET,,4250
4251,DAJAJO'S MARKET No. 2,,4251
4252,Dale & Thomas Popcorn,CITY OF BOSTON,4252
4253,DAMOAH GRILL,WON CHUL LEE,4253
4254,DAMON'S RESTAURANT,,4254
4255,Dan Dan Herbal,B.J. WANG,4255
4256,Dana Farber Cafe,SODEXHO @ DANA FARBER CAN CER INSTITUTE,4256
4257,Dana Farber Gift Shop,,4257
4258,DANDY DONUTS,POWERS,4258
4259,D'ANGELO,D'ANGELOS SANDWICH SHOP,4259
4260,D'ANGELO/PAPA GINO'S,D'ANGELO SANDWICH SHOP,4260
4261,D'ANGELO'S,DELOPS  INC.,4261
4262,D'ANGELO'S INC.,FIFTY FRANKLIN STREET  LP,4262
4263,D'ANGELOS SANDWICH SHOP,D'ANGELO SANDWICH SHOP,4263
4264,D'ANGELO'S SANDWICH SHOP,,4264
4265,Daniel Market,ZARRELLA JAMES V TS,4265
4266,Daniele Inc.,,4266
4267,DANIELS BAKERY,HANDALIAN DANIEL,4267
4268,DANIEL'S HOUSE OF PIZZA,STAMATOS JAMES C TS,4268
4269,DANNY'S MARKET,,4269
4270,DANTE'S FROZEN YOGURT,JAKUBOWSKI CHESTER S TS,4270
4271,Dara's,ROEUTH SAN,4271
4272,Dara's Wine & Spirit,,4272
4273,Darryls Corner Bar & Kitchen,SIX-04 COLUMBUS AV LLC,4273
4274,David Barton Gym (RF),,4274
4275,DAVID P. EHRLICH COMPANY,MACDONALD PAUL,4275
4276,Davide's,GESUALDI ANTHONY,4276
4277,Dawat Fine Indian Cuisine,HARNEK SINGH  PRES.,4277
4278,Day Square Liquor,STEPHANIES LAND COMPANY INC,4278
4279,Day Square Liquors,STEPHANIES LAND COMPANY INC,4279
4280,D'Benny Market,  ,4280
4281,D'Cache Restaurant,,4281
4282,DE HOT SPOT,NEW FELLOWSHIP BAPTIST,4282
4283,DEARBORN LIQUOR STORE,RAMOS SOTO DEARBORN LIQUOR STORE,4283
4284,Deborah's Kitchen @ BPM,,4284
4285,D'EDDY RESTAURANT INC.,  ,4285
4286,DELECTABLE DESIRES,,4286
4287,Delectable Desires Pastries,AU BON PAIN  CO.  INC.,4287
4288,Deleon Market,MORALES DOMINGO,4288
4289,Deli Dinos,NGUYEN HUY TS,4289
4290,Deli Food Market,  ,4290
4291,DELICATO CAFE,LOUIS SIRIGNANO,4291
4292,Delicias Dominicana,PIERRE GERTHA,4292
4293,Delicity Pizza,P & C COMPANY: TONG'S FAS T FOOD,4293
4294,DELPHI GIFT SHOP,COVE PLAZA ASSOCIATES LP,4294
4295,DELTA TERMINAL CROWN RM CLUB,DELTA AIRLINES  ATTN: BAR BARA GOSLIN,4295
4296,DELUX CAFE,KDJ INC,4296
4297,DEMPSEY'S BAR & GRILLE,DEMPSEY OLIVER,4297
4298,Dental 7 Cafe,TUFTS NEW ENG MED CTR INC,4298
4299,Deria Express Cafe,GARVIN ROGER,4299
4300,DERNA'S RESTAURANT,,4300
4301,DERNE ST DELI,PAPADOPOILOS ELIAS,4301
4302,Derne Street Deli,MIRABELLA SALVATORE P TS,4302
4303,Descent (at W Hotel),,4303
4304,Designer Cafe'(Au Bon Pain),AU BON PAIN CO.  INC.,4304
4305,DESPINA'S PLACE,TZANTZOS DESPINA MOURLAS,4305
4306,Destino's,GIANNANGELO GRACE M,4306
4307,Destinos Pizza,GIANNANGELO GRACE M,4307
4308,DESTINO'S PIZZA,GIANNANGELO GRACE M,4308
4309,DEVON CORNER MARKET,CECILO MEDINA & WILLIAM,4309
4310,Dewey Sq. Farmers Market,,4310
4311,DIANA MARKET,ALEJANDRA RODRIQUEZ,4311
4312,Diaz Variety Market,VIVIAN VETH  PRES.,4312
4313,DIM SUM CHEF  INC.,PETER LUU  PRES.,4313
4314,DIMELOS CAFE,,4314
4315,Dip It Sweet,ROBERTO FRANK TS,4315
4316,Dipaolo & Rossi,PACE JOSEPH A TRSTS,4316
4317,DISCOVER BOSTON TROLLEY TOURS,,4317
4318,DISCOVERBOSTON-MULTITROLLEY,LONG WHARF LLC,4318
4319,District Pizza,  ,4319
4320,District Restaurant & Lounge,CRAWFORD BUILDING LPS,4320
4321,D'Javi Restaurant,FADDS LLC,4321
4322,D'Maco Restaurant,,4322
4323,D'Maricela's Kitchen,,4323
4324,DMM,,4324
4325,D'NANO RESTAURANT,ELVIN F. OVIEDO,4325
4326,Dollar Ave,,4326
4327,Dollar City,,4327
4328,Dollar Discount Inc.,HOSMER JOHN,4328
4329,Dollar Double,  ,4329
4330,Dollar Express,,4330
4331,Dollar Stop Plus,,4331
4332,Dolly Market,TORRES ANGELA,4332
4333,DOLPHIN BAIT & TACKLE,,4333
4334,Dominican Grocery,,4334
4335,Dominics,ADAMS VILLAGE LLC,4335
4336,DOMINO'S No.  3724,MOHAMMAD SIBAI (DIRECTOR OF OPERATIONS),4336
4337,DOMINO'S No.  3741,HOFFMAN BARRY D TRST,4337
4338,DOMINO'S No.  3742,BOLTON MELISSA,4338
4339,DOMINOS No.  3744,KARGMAN WILLIAM M TRST,4339
4340,DOMINO'S No.  3745,PARK CENTER 2 LLC,4340
4341,DOMINOS PIZZA,AMINA KHAN  PRES. C/O SI,4341
4342,Domino's Pizza,,4342
4343,DOMINO'S PIZZA (277 MAIN ST. CHASN.),ENDICOTT JAMES TS,4343
4344,DOMINO'S PIZZA No.  3784,,4344
4345,DOMINO'S PIZZA/MAHA PIZZA,,4345
4346,DOM'S,CAPOSSELK,4346
4347,Don Dollar,LA COCINA LLC,4347
4348,Don Otto's Natural & Organic Market,DUMBAUGH CHARLES C,4348
4349,Don Ricardo's Restaurant,,4349
4350,Donna's Cakes,,4350
4351,DONOHUE CAFETERIA,SUFFOLK UNIVERSITY,4351
4352,DONOVAN'S REEF,DONOVAN,4352
4353,DOR.NAZARINE COMPASSIONATE CTR,,4353
4354,Dorchester Discount,TOMOTHY O'CALLAGHAN,4354
4355,DORCHESTER PIZZA AND GRILL,,4355
4356,Dorchester Supreme Liquor,CI FRINO,4356
4357,Dore Creperie,PRUDENTIAL INSURANCE CO TS,4357
4358,Doretta Taverna & Rawbar,HERITAGE ON GARDEN CONDO TR,4358
4359,Doris Coffee & Pizza Shop,,4359
4360,Doris Coffee Shop and Pizza,HOLOGITAS PETER,4360
4361,Dosa Factory,  ,4361
4362,Dot 2 Dot Cafe,BERTUCCI JOHN E TRST,4362
4363,Dot Cafe,,4363
4364,Dot Tavern,DOT TAVERN INC.,4364
4365,DOTTIES DELI,DONALD HUSSEY,4365
4366,Double Dragon Provisions  Inc.,LEE ON DONG ASSOCIATION,4366
4367,Doubletree Club Hotel Gift Shop,BAYSIDE ASSOCS LPS,4367
4368,Dough East Boston,BELESIS VALERIE,4368
4369,Doughboy's,POWERS JAMES R TRST,4369
4370,Down Home Delivery@Franklin Park Golf Course,Franklin Park Zoo ,4370
4371,DOWNTOWN BRASIL,,4371
4372,Downtown Brazil,,4372
4373,DOWNTOWN CONVENIENCE,FORTY BOYLSTON ST ASSOC LLC,4373
4374,Downtown Crossing Art Fridays,,4374
4375,Downtown Crossing Convenience,SMULLYAN CLINTON I JR TRUSTE,4375
4376,Downtown Crossing Holiday Market,,4376
4377,DOWNTOWN CROSSING ICE CREAM,ADCOR REALTY CORP,4377
4378,Downtown Crossing Socials,,4378
4379,Downtown Summer St. Markets,  ,4379
4380,DOYLES,WELSH ERIC,4380
4381,DOZZI'S,GRADOZZI ROBERT,4381
4382,DR Supermarket,JIMMY & EVELYN ARROYO,4382
4383,D'RAFAS RESTAURANT,  ,4383
4384,DRAGON CHEF CHINESE REST.,,4384
4385,Dragon Roll Grill,,4385
4386,Dragon Wok Restaurant,,4386
4387,Drifter's Restaurant & Lounge,ANDREW HOLMES,4387
4388,Drinking Fountain,CAREY THOMAS,4388
4389,Droubi's Bakery,VITELLO NICOLE,4389
4390,Dry Dock Exchange,  ,4390
4391,Dudley Dough,,4391
4392,Dudley Food Market Inc.,,4392
4393,Dudley Halal Market Inc,GARVIN ROGER,4393
4394,Dudley Market,BRADFORD LANCE TS,4394
4395,Dudley Square Grille(tm),NUESTRA PALLADIO LP,4395
4396,Dudley's Seafood Market,,4396
4397,Dume Mini Market,LOPEZ YAMILETH,4397
4398,Dumpling Kingdom Inc.,,4398
4399,DUN KIN' DONUTS,THE WALDWIN GROUP INC DUNKIN' DONUTS,4399
4400,Dunkin' Donuts,DEVLIN MICHAEL & DARLENE,4400
4401,DUNKIN DONUTS - BASKIN ROBBINS,ARGIROS ALEXANDER A,4401
4402,DUNKIN' DONUTS (BRIGHTON),,4402
4403,Dunkin Donuts (Kenmore Sq. Donuts),HOUMAN BAIANY,4403
4404,Dunkin Donuts (T-E Post Security),,4404
4405,Dunkin Donuts (TRMNL-C Baggage Area),,4405
4406,Dunkin Donuts 308048,,4406
4407,Dunkin Donuts 334756,,4407
4408,Dunkin Donuts Gate C29,,4408
4409,Dunkin Donuts Kiosk Space 55A,,4409
4410,DUNKIN DONUTS No.  1,,4410
4411,Dunkin Donuts No.  1 (No. 52),,4411
4412,DUNKIN DONUTS No.  2,,4412
4413,DUNKIN DONUTS No.  3,,4413
4414,Dunkin Donuts Space No. 52,,4414
4415,Dunkin Donuts Space No. 86,,4415
4416,Dunkin Donuts(1630 V.F.W. Pkwy.),CDT DONUTS INC.,4416
4417,DUNKIN DONUTS(DALEL-SULLIVAN),HELEN D'ALELIO  DA-LEL CORP.,4417
4418,Dunkin Donuts(Seton Bldg.),  ,4418
4419,Dunkin Donuts/Airside,,4419
4420,DUNKIN' DONUTS/BASKIN ROBINS,,4420
4421,DUNKIN DONUTS/D.J. DONUTS,SPAULDING REHAB HOSPITAL CP,4421
4422,DUNKIN DONUTS/WATERMARK,,4422
4423,Dunkin Donuts-Amer Airlines/Landside,,4423
4424,Dunkin Donuts-Govt. Ctr.-MBTA,,4424
4425,DUNKIN DONUTS-U S AIR,,4425
4426,Durgin Park Restaurant,  ,4426
4427,Duty Free Americas No.  489 Pier B,,4427
4428,Duty Free Americas No.  490,NORTHWEST AIRLINES/TAX DE PT. A4450,4428
4429,Duty Free Americas No.  521 Pier A,,4429
4430,Duty Free Terminal C,,4430
4431,Duty Free Terminal E,,4431
4432,E & J HORSEMENS KITCHEN,BOSTON CONCESSIONS GROUP,4432
4433,E & S Variety,,4433
4434,E V S Mini Mart,SCHIMMEL LEYLA,4434
4435,E.B. NEIGHBORHOOD HLTH. CTR.,EAST BOSTON NEIGHBORHOOD,4435
4436,Eagle Liquors,,4436
4437,Eagle Market,NGUYEN THANH,4437
4438,EAGLE MARKET INC.,ARMEN TUTUNJIAN,4438
4439,Earl of Sandwich,,4439
4440,EAST @ WEST,,4440
4441,East Boston Grocery,DAMORE PAUL,4441
4442,East Boston House of Pizza,,4442
4443,East Boston Kitchen,MODICA JANICE L TS,4443
4444,East Boston N H C  Coffee Shop,,4444
4445,EAST COAST RESTAURANT,EAST COAST RESTAURANT:CHA,4445
4446,EAST OCEAN,LI WAN KAM,4446
4447,EAST OCEAN CITY,EAST OCEAN REALTY LLC,4447
4448,EASTERN LOBBY,ACME-PREMIER REALTY CORP,4448
4449,EASTERN MOUNTAIN SPORTS,EASTERN MOUNTAIN SPORTS,4449
4450,EASTERN MOUNTAIN SPORTS INC.,GATEWAY LONGWOOD INC,4450
4451,EASTERN PIER II  INC.,EASTERN PIER II  INC.,4451
4452,eat @ Corner Cafe,FIVE 04 MASSACHUSETTS AVENUE,4452
4453,Eat Boutique Holiday Market,,4453
4454,Eat Kitchen,SBMS 2000-C3 SUMNER TUNNEL,4454
4455,Eat-In-Style,,4455
4456,Eats & Treats,KARAKITSOS GEORGE,4456
4457,Ecco,SANTARPIO CARLA,4457
4458,Ecco Pizzeria,TEJINDER JAGGI,4458
4459,ECLANO,,4459
4460,Economy Hardware,UNITED COMPANY THE,4460
4461,Eddie Bauer  Inc.,,4461
4462,Eddy's Restaurant,LEE KANG P,4462
4463,Edianis Market,GUERRERO IVAN,4463
4464,Edibles By Evers,DERY JENNIFER A,4464
4465,EDIS MARKET,RODRIGUEZ EDIS,4465
4466,Edu and Den's Restaurant,SAINT-LOUIS LAYN M TS,4466
4467,Edwards Wildman Palmer L L P,PALMER & DODGE LLP,4467
4468,EGLESTON DOLLAR STOP PLUS,,4468
4469,Egleston Fruit Market,HERNANDEZ MANUEL E,4469
4470,EGLESTON LIQUORS,LEMMA SOLOMON,4470
4471,Egleston Square Pharmacy,EGLESTON SQUARE PHARMACY INC.,4471
4472,EGLESTON'S MARKET,  ,4472
4473,Egleston's Market II,MORALES DOMINGO,4473
4474,EL BUEN GUSTO,PERLERA FRANCISCO E,4474
4475,El Cafetal,,4475
4476,El Caminante,,4476
4477,El Chavo Mexican Products,IOANNIS TZIGIZIS VOUROS BAKERY,4477
4478,El Coli Market,CECILO MEDINA & WILLIAM,4478
4479,EL CONDOR MARKET,,4479
4480,El Consumo Market,LIPANI CARL C TS,4480
4481,El Diamante,LAURANO MICHAEL A TS,4481
4482,El Diez Arsentinian Grill,,4482
4483,El Dorado Restaurante/Cafeteria,AURELIO RADAME NUNES,4483
4484,EL DUGOUT,,4484
4485,El Dugout Restaurant,,4485
4486,El Fogon Tipico Dominicano,FREDDY NUNEZ,4486
4487,El Fongon Del La Morena,MAROUN ELIAS Y,4487
4488,El Frutero Market,SALEHA AKHTAR RANGA  OWNE R,4488
4489,El Molino,DERMARDEROSIAN ANTRANIG TRST,4489
4490,El Paisa Butcher Shop,,4490
4491,El Paisa II,,4491
4492,EL PAISA RESTAURANTE,PATEL JIGNASH N,4492
4493,El Pelon Taqueria,,4493
4494,EL POLLO DORENO,STELLA JAMES S,4494
4495,El Progresso Market,TEJEDA OSCAR R.,4495
4496,EL PUNTO RESTAURANT-CAFETERIA,  ,4496
4497,El Rancho Cafe,DJMT LLC,4497
4498,El Regreso Market 2,,4498
4499,El Sazon De Las Munecas Inc,FREDDY NUNEZ,4499
4500,El Sol Caribeno,ZIRPOLO ANGELO,4500
4501,El Sol Food Market,,4501
4502,EL TIO SUPERMARKET,OSPINA ANTONIO,4502
4503,El Triunfo Restaurant,CHEN DONALD T,4503
4504,El Triunfo Restaurant (69 Prince St.),SUSI ANTHONY,4504
4505,El Truinfo,DERMARDEROSIAN ANTRANIG TRST,4505
4506,El Zazonaso Restaurant,DANA MARSHALL A,4506
4507,Eliana Market,CARLOS A. GUERRERO,4507
4508,ELITE DONUT SHOP,,4508
4509,Elizabeth Ms. Market,SEMEDO BERNARDINO M,4509
4510,Ellis Memorial Adult Day Health,DELANEY LEO,4510
4511,Emack and Bolio's,,4511
4512,EMBASSY SUITES BOSTON (FS),BPG/CGV HOTEL PARTNERS IX LLC,4512
4513,EMBASSY SUITES GIFT SHOP,BPG/CGV HOTEL PARTNERS IX LLC,4513
4514,EMEDIO'S,DYER DENNIS A,4514
4515,Emelio's Restaurant,DYER DENNIS A,4515
4516,Emerald Grill,Franklin Park Zoo ,4516
4517,Emerald Lounge,JPA IV MGMT COMPANY INC TS,4517
4518,EMERSON AUTO SERVICE CORP,GROSBERG GARY,4518
4519,Emerson Cafe,WARNICK STEVEN M TS,4519
4520,Emerson College Paramount Center Servery,,4520
4521,EMERSON COLLEGE/LITTLE BLDG.,,4521
4522,Emerson E-Kitchen Dining,  ,4522
4523,EMERSON'S,,4523
4524,EMILIOS PIZZA & SUBS,VANTOURIS THEODOROS & EMILIOS,4524
4525,Emmanuel College Bookstore No.  43,  ,4525
4526,EMMANUELITO CARIB MARKET,,4526
4527,Emma's,  ,4527
4528,Empanada's House,ELVIN F. OVIEDO,4528
4529,EMPIRE GARDEN,,4529
4530,EMPORIO ARMANI EXPRESS,UNITED BUSINESS SERVICE INC,4530
4531,Energy Express Cafe,TARANTINO TEODORO,4531
4532,Enso Sushi,,4532
4533,Equilibrium,CODMAN CHARLES R        ETAL,4533
4534,Equinox,,4534
4535,Equinox Cafe,ONE-31 DARTMOUTH STREET LLC,4535
4536,Equinox Fitness,,4536
4537,Erbaluce,FIFTY-7 CHURCH ST LLC,4537
4538,Erie Market Dollar,LIVING IN DORCHESTER INC,4538
4539,Erie St. Market,LIVING IN DORCHESTER INC,4539
4540,Ernestos Pizzeria,GIORGIO LILLIAN,4540
4541,Espessomente,,4541
4542,Espresso Pizza,RASLA AMIN,4542
4543,ESPRESSO ROYALE CAFE,OMAR ABU-HASAN,4543
4544,Essential Body Herbs,  ,4544
4545,ESSENTIALS,ONE HUNDRED FEDERAL ST LPS,4545
4546,Ester,,4546
4547,Estrella Grocery,,4547
4548,ESTRELLITA FOOD MARKET,RICUPERO JOSEPH M TS,4548
4549,Estrellita Food Market  LLC,PRUDENCIO RICHARD A,4549
4550,Ethiopian Cafe,,4550
4551,Eucalipto,TAN NENG HAI,4551
4552,EUGENE O' NEILLS,QUERCIO JOSEPH R TS,4552
4553,EUREST @BOA CAFETERIA/CATERING,ONE HUNDRED FEDERAL ST LPS,4553
4554,Eurest Dining (Met Life),DISCIPIO PAUL,4554
4555,Eurest Dining @ Bank Merchandise Store,ONE HUNDRED FEDERAL ST LPS,4555
4556,Eurest Dining @Pearson Education,,4556
4557,EUrest Dining@Suffolk Construction,J & E BUILDING ASSN LP,4557
4558,EVAN'S NEW YORK STYLE DELI,,4558
4559,Evelyn's Place,FOUR DIAMOND LLC-MASS CP,4559
