LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
93,7162,NONE,2:00 AM,2:30 AM,31
94,7163,NONE,MIDNIGHT,12:30 AM,48
95,7164,NONE,11:00 p.m.,11:30 p.m.,48
96,7165,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON. Capacity breakdown  118 basement  101 1'st floor  280 2'nd floor and 74 3'rd floor,2:00 AM,2:30 AM,573
97,7166,1.) ALCOHOL SERVICE ON THE PATIO TO COMMENCE AT NOON. 2.)ALCOHOLIC BEVERAGES CAN BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11:00 AM - NOON.,1:00 AM,1:30 AM,120
98,7167,PATIO CONDITIONS: 1)OPERATING HOURS 11:00 A.M. - 11:00 P.M.; 2)ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD ORDERED FROM THE MENU; AND3) MUST BE STAFFED AT ALL TIMES.,1:00 AM,1:30 AM,72
99,7168,,2:00 AM,2:30 AM,42
100,7169,NONE,11:00 PM,11:30 PM,46
101,7170,1.) SHOWS TO END BY MIDNIGHT  2.) WRITTEN APPROVAL MUST BE OBTAINED BY BOARD FOR SHOWS ENDING AFTER MIDNIGHT.,2:00 AM,2:30 AM,1201
102,7171,(1) Filtering System. (2) Trash stored inside. (3) Deliveries on Richmond St. between 7 AM and 6 PM. (4)Closing hour on Thursdays  Fridays  Saturdays and Private Events is 2:00 A.M.,1:00 AM,1:30 AM,240
103,7172,9:00 A.M. OPENING ON SUNDAY FOR THE SERVICE OF FOOD WITH ALCOHOL SERVICE TO BEGIN AT 11:00 A.M. WITH BRUNCH.,2:00 AM,2:30 AM,228
104,7173,NONE,2:00 AM,2:30 AM,180
105,7174,1) Trash Pickup 6 days/week. 2) Food service available in all sections of the premises  including bar and lounge. 3) Dumpster locked. 4)No alcoholic beverages to be served after 1:00 a.m. to patrons not having ordered food from the menu.,2:00 AM,2:30 AM,302
106,7175,NONE,Midnight,12:30 AM,32
107,7176,A.) PATIO CLOSING HOUR: 11:00 P.M.,1:00 AM,1:30 AM,60
108,7177,1) Patio must be staffed at all times. 2) Patio Hours from11:00 AM to 12:00 Midnight. 3) All patrons must be off the patio by Midnight.,1:00 AM,1:30 AM,240
109,7178,,2:00 AM,2:30 AM,400
110,7179,,1:00 AM,1:30 AM,1031
111,7180,NONE,2:00 AM,2:30 AM,180
112,7181,NONE,2:00 AM,2:30 AM,0
113,7182,A.) 10:00 P.M. CLOSING ON PATIO.,2:00 AM,2:30 AM,211
114,7183,NONE,2:00 AM,2:30 AM,109
115,7184,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,10:00 PM,10:30 PM,29
116,7185,1. No Bar.2. No service of Alcoholic Beverages to patrons unless the patrons are about to order a meal or have ordered a meal; and that the restaurant will be maintained as a first class restaurant with linen  tablecloths and silverware.,1:00 AM,1:30 AM,49
117,7186,The Board granted permission to serve alcohol with Sunday brunch.,1:00 AM,1:30 AM,254
118,7187,NONE,1:00 AM,1:30 AM,90
119,7188,1. MIDNIGHT CLOSING HOUR. 2. NO BAR  5 SEAT COUNTER ALLOWED.3. MALT & WINE WITH MEALS ONLY AT TABLES & COUNTER.,MIDNIGHT,12:30 AM,49
120,7189,NONE,2:00 a.m.,2:30 a.m.,0
121,7190,NONE,2:00 AM,2:30 AM,320
122,7191,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,1:00 AM,1:30 AM,118
123,7192,,2:00 AM,2:30 AM,118
124,7193,NONE,1:00 AM,1:30 AM,172
125,7194,NONE,2:00 AM,2:30 AM,60
126,7195,NONE,1:00 AM,1:30 AM,0
127,7196,ROOFDECK CONDITIONS: 1.) ROOF DECK TO BE CLOSED AT MIDNIGHT  2.) NO BOTTLES (GLASS  ALUMINUM OR PLASTIC ) ALL ALCOHOL TO BE SERVED IN PLASTIC CUPS.  OUTDOOR PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) MUST BE STAFFED AT ALL TIMES.  3.) MIDNIGHT CLOSING HOUR ON PATIO.,2:00 AM,2:30 AM,541
128,7197,CLOSING HOUR: 1:00 A.M.  PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) TO BE STAFFED AT ALL TIMES.,1:00 AM,1:30 AM,194
129,7198,PATIO OPERATING HOURS ARE: 10:00 AM - 2:00 AM.,2:00 AM,2:30 AM,159
130,7199,1. No Alcohol with room service. 2. Alcohol in lounge area only.,2:00 AM,NULL,0
131,7200,Sale of Alcoholic Beverages only permitted at bar and at tables immediately adjacent thereto. Alcoholic Beverages at other tables can only be served in conjunction withfood.,2:00 AM,2:30 AM,117
132,7201,1) ALCOHOL TO BE SERVED ONLY WITH FOOD AT TABLES. 2) SERVICE ON PATIO TO END AT MIDNIGHT. 3) FOOD AVAILABLE AT BAR AT ALL TIMES. 4) ALCOHOLIC BEVARAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,272
133,7202,1.) ALCOHOL TO BE SERVED AT TABLES ONLY WITH FOOD.  2.) AGREEMENT WITH NEIGHBORHOOD ASSOCIATION OF BACK BAY INCORPORATED BY REFERENCE. 3.) 10:00 A.M. SERVICE OF ALCOHOL WITH BRUNCH ON SUNDAYS.,1:00 AM,1:30 AM,260
134,7203,1. Patio to close at Midnight. 2. No more than forty patrons 3.After 8PM  all alcoholic beverages orders must be accompanied by food.4.Barrier to be set off patio from side- walk.5.All trash   stored in dumpsters.   ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,425
135,7204,ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,2:00 AM,2:30 AM,195
136,7205,1. Table seating Only. 2. No Standees. 3. Alcoholic beverages with menu items only  after 6 PM. 4. Must be off the patio by 11:00 P.M.,1:00 AM,1:30 AM,384
137,7206,Open on Sundays at 10:00 A.M. for the sale of Alcoholic Beverages with Brunch.,2:00 AM,2:30 AM,190
